Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company Industry (CB)
,,Tom,Lost,3/6/2015,Upsell,50000,United States,Healthcare
Cloud C,Partner,Susans,Won,10/31/2019,New,50000,United States,Healthcare
,Web,Tom,Lost,6/26/2020,New,50000,United States,Healthcare
,Partner,Paul,Proposal,4/12/2023,Renewal,50000,United States,Healthcare
On-Premise,,Dave,Won,4/21/2021,Renewal,50000,United States,Healthcare
On-Premise,,Dave,Won,4/24/2020,Upsell,50000,United States,Healthcare
On-Premise,,Mary,Proposal,4/27/2022,Renewal,50000,United States,Healthcare
On-Premise,,Susans,Lost,8/31/2020,New,75000,United States,Healthcare
On-Premise,Web,Nancy,Proposal,7/10/2022,Renewal,75000,United States,Healthcare
Cloud B,Web,Susans,Lost,6/28/2019,New,75000,United States,Healthcare
Cloud A,Web,Dave,Lost,4/1/2022,New,75000,United States,Healthcare
Cloud C,Partner,Dave,Lost,4/30/2020,New,75000,United States,Healthcare
Cloud B,,Paul,Lost,7/16/2021,New,75000,United States,Healthcare
On-Premise,Web,Steve,Won,7/10/2020,New,75000,United States,Healthcare
Cloud A,Partner,Greg,Won,11/22/2021,New,80000,United States,Healthcare
Cloud A,,Greg,Proposal,11/22/2022,Renewal,80000,United States,Healthcare
On-Premise,,Sammy,Lost,9/30/2018,New,90000,Spain,Healthcare
On-Premise,,Ben,Requalify,2/11/2022,New,90000,United States,Healthcare
,Web,Ben,Meeting,12/31/2021,New,90000,United States,Healthcare
,Web,Dave,Requalify,3/11/2022,New,90000,United States,Healthcare
Cloud A,,Dave,Lost,3/31/2020,New,100000,United States,Healthcare
,,Mary,Lost,4/29/2022,New,100000,United States,Healthcare
,Partner,Mary,Qualification,6/30/2022,Upsell,100000,United States,Healthcare
,Web,Mary,Lost,3/31/2022,New,100000,United States,Healthcare
,,Paul,Requalify,7/29/2022,New,100000,United States,Healthcare
,,Paul,Lost,7/31/2018,New,100000,United States,Healthcare
Cloud C,Partner,Paul,Won,12/19/2019,New,100000,United States,Healthcare
Cloud A,,Steve,Lost,5/8/2020,New,100000,United States,Healthcare
,,Susans,Lost,6/8/2018,New,100000,United States,Healthcare
,,Susans,Lost,1/31/2017,Upsell,100000,United States,Healthcare
Cloud B,Web,Tom,Requalify,5/31/2022,New,100000,United States,Healthcare
,,Susans,Won,11/15/2017,New,100000,United States,Healthcare
,,Susans,Lost,6/30/2018,New,100000,United States,Healthcare
Cloud A,,Ben,Requalify,9/30/2022,New,100000,United States,Healthcare
Cloud C,Partner,Paul,Lost,7/16/2021,Upsell,100000,United States,Healthcare
Cloud C,Partner,Paul,Won,5/7/2021,Renewal,100000,United States,Healthcare
Cloud C,Partner,Paul,Won,5/8/2020,Upsell,100000,United States,Healthcare
Cloud C,Partner,Mary,Validation,6/28/2022,Upsell,150000,United States,Healthcare
,,Steve,Lost,5/29/2015,,150000,United States,Healthcare
,,Susans,Lost,9/30/2017,New,150000,United States,Healthcare
Cloud B,,Susans,Lost,4/7/2020,Upsell,150000,United States,Healthcare
,Event,Mike,Meeting,6/30/2022,New,150000,United States,Healthcare
On-Premise,Web,Steve,Lost,3/22/2019,New,150000,United States,Healthcare
Cloud C,Partner,Paul,Won,9/11/2020,Upsell,150000,United States,Healthcare
Cloud C,Partner,Ben,Won,12/9/2021,Renewal,150000,United States,Healthcare
Cloud C,Partner,Joe,Proposal,3/28/2022,Upsell,150000,United States,Healthcare
Cloud C,,Joe,Proposal,12/14/2022,Renewal,150000,United States,Healthcare
Cloud C,Partner,Paul,Won,12/28/2020,New,150000,United States,Healthcare
Cloud B,Web,Paul,Won,11/20/2020,Renewal,200000,United States,Healthcare
Cloud B,,Paul,Proposal,11/11/2022,Renewal,200000,United States,Healthcare
Cloud B,Web,Paul,Won,10/7/2021,Renewal,200000,United States,Healthcare
Cloud B,Web,Susans,Won,11/15/2019,New,200000,United States,Healthcare
Cloud C,Partner,Paul,Won,11/20/2020,Upsell,200000,United States,Healthcare
Cloud C,Partner,Steve,Requalify,6/24/2022,New,200000,United States,Healthcare
Cloud C,Partner,Joe,Qualification,12/15/2022,Renewal,200000,United States,Healthcare
Cloud C,Partner,Paul,Proposal,1/14/2023,Renewal,200000,United States,Healthcare
Cloud C,Partner,Paul,Won,9/16/2021,Renewal,200000,United States,Healthcare
,Partner,Nancy,Meeting,6/30/2022,New,200000,United States,Healthcare
On-Premise,Event,Dave,Requalify,1/31/2022,New,1000,Spain,Healthcare
,Web,Dave,Lost,8/16/2021,New,1000,United States,Healthcare
,Web,Dave,Lost,9/16/2021,New,1000,United States,Healthcare
Cloud C,Partner,Paul,Requalify,6/24/2022,New,1000,United States,Healthcare
Cloud A,,Sammy,Lost,9/27/2018,New,1000,United Kingdom,Healthcare
Cloud C,Partner,Steve,Lost,7/30/2021,New,1000,United Kingdom,Healthcare
Cloud A,,Steve,Lost,3/25/2021,New,1000,United Kingdom,Healthcare
,Web,Steve,Lost,12/31/2021,New,1000,Canada,Healthcare
,,Susans,Lost,3/31/2017,Upsell,1000,United States,Healthcare
,,Susans,Lost,3/8/2018,Upsell,1000,United States,Healthcare
,,Susans,Lost,2/28/2018,New,1000,United States,Healthcare
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,9/30/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,12/31/2019,New,1000,United States,Healthcare
,,Susans,Lost,6/29/2018,Upsell,1000,United States,Healthcare
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Healthcare
,,Tom,Lost,6/30/2017,New,1000,United States,Healthcare
,,Susans,Won,3/1/2022,New,1000,United States,Healthcare
,,Susans,Proposal,2/28/2023,Renewal,1000,United States,Healthcare
Cloud B,,Tom,Won,3/12/2019,New,10000,Australia,Healthcare
Cloud B,,Tom,Won,12/9/2019,Renewal,10000,Australia,Healthcare
Cloud B,,Tom,Won,3/17/2020,Renewal,10000,Australia,Healthcare
Cloud B,,Tom,Won,9/17/2020,Renewal,10000,Australia,Healthcare
Cloud B,,Tom,Won,6/10/2020,Renewal,10000,Australia,Healthcare
Cloud B,,Alex,Proposal,3/18/2022,Renewal,20000,Australia,Healthcare
Cloud B,Web,Steve,Lost,8/23/2019,New,20000,United States,Healthcare
,,Susans,Won,9/30/2016,Upsell,20000,Germany,Healthcare
,,Susans,Lost,11/9/2017,New,40000,United States,Healthcare
Cloud B,,Tom,Won,3/31/2021,Renewal,50000,Australia,Healthcare
On-Premise,,Steve,Lost,3/25/2022,New,50000,United Kingdom,Healthcare
Cloud A,,Paul,Lost,7/16/2021,New,75000,United States,Healthcare
,Web,Amy,Validation,5/31/2022,New,90000,United States,Healthcare
,Partner,Dave,Lost,4/1/2022,New,100000,United States,Healthcare
,Web,Larry,Meeting,6/23/2022,New,100000,Ireland,Healthcare
On-Premise,Partner,Paul,Validation,3/31/2022,New,100000,United States,Healthcare
Cloud A,,Paul,Validation,4/29/2022,New,100000,United States,Healthcare
,,Susans,Lost,3/23/2017,Upsell,100000,United States,Healthcare
,,Susans,Lost,11/20/2015,Upsell,100000,United States,Healthcare
,,Paul,Lost,9/7/2018,New,100000,United States,Healthcare
On-Premise,,Mary,Qualification,5/25/2022,New,150000,United States,Healthcare
On-Premise,Partner,Dave,Lost,7/1/2021,New,1000,United States,Healthcare
,Partner,Dave,Lost,2/16/2021,New,1000,Germany,Healthcare
On-Premise,Partner,Dave,Lost,7/8/2021,New,1000,Germany,Healthcare
Cloud B,,Joe,Requalify,3/30/2022,New,1000,United States,Healthcare
On-Premise,Web,Paul,Lost,6/23/2021,New,1000,United States,Healthcare
,,Susans,Lost,6/30/2017,Upsell,1000,United States,Healthcare
,,Susans,Lost,9/15/2017,Upsell,1000,Japan,Healthcare
,,Susans,Lost,8/24/2018,New,50000,United States,Healthcare
Cloud A,Web,Greg,Validation,4/29/2022,New,75000,Japan,Healthcare
,,Susans,Lost,10/1/2015,,75000,United States,Healthcare
Cloud C,Partner,Dave,Lost,10/9/2020,New,100000,Germany,Healthcare
,,Susans,Lost,10/24/2018,New,100000,United States,Healthcare
,,Susans,Lost,10/16/2015,Upsell,150000,United States,Healthcare
,Web,Paul,Meeting,4/29/2022,New,200000,United States,Healthcare
Cloud C,Partner,Nancy,Validation,3/31/2022,New,150000,United States,Healthcare
Cloud B,Web,Alex,Won,6/25/2021,Upsell,1000,New Zealand,Healthcare
Cloud C,Web,Charlie,Requalify,10/1/2021,New,1000,United States,Healthcare
On-Premise,Web,Dave,Lost,12/31/2021,New,1000,Sweden,Healthcare
On-Premise,Web,Dave,Lost,6/3/2021,New,1000,United States,Healthcare
,Web,Dave,Lost,1/19/2021,New,1000,Sweden,Healthcare
On-Premise,Partner,Dave,Lost,9/29/2021,New,1000,United States,Healthcare
On-Premise,Web,Paul,Requalify,9/30/2022,New,1000,United States,Healthcare
,Event,Steve,Lost,6/8/2021,New,1000,Bermuda,Healthcare
,,Steve,Requalify,1/31/2022,New,1000,United States,Healthcare
,,Steve,Lost,6/30/2021,New,1000,Germany,Healthcare
On-Premise,Partner,Steve,Lost,11/20/2020,New,1000,Canada,Healthcare
,,Susans,Lost,3/31/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,3/31/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,3/30/2018,New,1000,United States,Healthcare
,,Susans,Lost,4/18/2014,Upsell,1000,United States,Healthcare
,,Tom,Lost,6/30/2017,New,1000,United States,Healthcare
Cloud C,Partner,Sammy,Won,5/8/2019,New,10000,United Kingdom,Healthcare
Cloud C,Partner,Tom,Won,7/9/2019,Renewal,10000,United Kingdom,Healthcare
Cloud C,Partner,Tom,Won,2/10/2020,Renewal,10000,United Kingdom,Insurance
Cloud C,Partner,Tom,Requalify,5/13/2020,Renewal,10000,United Kingdom,Insurance
Cloud C,Partner,Tom,Won,10/31/2019,Renewal,10000,United Kingdom,Insurance
Cloud B,Web,Alex,Proposal,5/31/2022,Renewal,20000,New Zealand,Insurance
Cloud B,Web,Sammy,Won,5/22/2019,New,20000,New Zealand,Insurance
Cloud B,Web,Tom,Won,4/30/2020,Renewal,20000,New Zealand,Insurance
Cloud B,Web,Tom,Won,4/21/2021,Renewal,20000,New Zealand,Insurance
Cloud C,,Mary,Proposal,3/31/2023,Renewal,20000,United States,Insurance
Cloud C,,Paul,Won,12/30/2021,Upsell,20000,United States,Insurance
On-Premise,Web,Tom,Lost,4/1/2020,New,20000,Ireland,Insurance
,,Paul,Meeting,9/30/2022,New,50000,United States,Insurance
On-Premise,,Steve,Lost,12/27/2019,New,50000,United States,Insurance
Cloud A,,Dave,Lost,10/16/2020,New,75000,United States,Insurance
On-Premise,,Susans,Lost,12/31/2018,New,80000,United States,Insurance
Cloud C,Web,Paul,Won,8/31/2020,New,80000,United States,Insurance
Cloud C,Web,Paul,Lost,7/16/2021,Renewal,80000,United States,Insurance
On-Premise,,Dave,Lost,1/18/2021,New,80000,United States,Insurance
Cloud B,Partner,Paul,Lost,7/31/2018,New,80000,United States,Insurance
,Web,Larry,Meeting,6/22/2022,New,80000,United States,Insurance
,,Susans,Lost,7/31/2018,New,80000,United States,Insurance
,Seller,Greg,Meeting,6/30/2022,New,100000,United States,Insurance
,,Paul,Lost,7/31/2018,New,100000,United States,Insurance
,,Susans,Lost,7/1/2017,Upsell,100000,United States,Insurance
Cloud B,Web,Alex,Proposal,6/28/2022,Renewal,100000,New Zealand,Insurance
Cloud C,,Mary,Proposal,3/31/2022,Renewal,100000,United States,Insurance
Cloud C,,Paul,Won,6/17/2021,New,100000,United States,Insurance
,,Paul,Lost,8/24/2018,New,100000,United States,Insurance
Cloud C,,Mary,Proposal,3/30/2022,Renewal,150000,United States,Insurance
Cloud C,Web,Paul,Won,3/31/2020,New,150000,United States,Insurance
Cloud C,,Paul,Won,3/15/2021,Renewal,150000,United States,Insurance
,,Joe,Meeting,10/19/2022,New,150000,United States,Insurance
,,Alex,Lost,10/31/2021,New,1000,United States,Internet
Cloud C,,Alex,Won,7/16/2021,Upsell,1000,Singapore,Internet
,Web,Alex,Lost,10/6/2021,New,1000,India,Internet
,Partner,Alex,Won,2/28/2021,New,1000,Singapore,Internet
,,Charlie,Lost,11/12/2021,New,1000,United States,Internet
Cloud A,Web,Charlie,Lost,10/17/2020,New,1000,United States,Internet
,Web,Charlie,Lost,9/21/2020,New,1000,United States,Internet
,Web,Charlie,Lost,11/30/2020,New,1000,United States,Internet
,Web,Charlie,Lost,4/30/2021,New,1000,United States,Internet
Cloud C,,Dave,Lost,9/8/2021,New,1000,United States,Internet
On-Premise,,Dave,Lost,9/27/2019,New,1000,United States,Internet
Cloud B,Web,Dave,Lost,9/20/2018,New,1000,United States,Internet
,Web,Dave,Lost,1/20/2021,New,1000,United States,Internet
,,Dave,Lost,12/30/2017,New,1000,United States,Internet
,Partner,Dave,Lost,4/1/2022,New,1000,Belgium,Internet
,Partner,Dave,Lost,2/25/2022,New,1000,United States,Internet
Cloud C,Partner,Dave,Lost,9/6/2021,New,1000,Ireland,Internet
Cloud C,Partner,Dave,Lost,4/1/2022,New,1000,United States,Internet
,Partner,Dave,Won,4/27/2021,Upsell,1000,United States,Internet
,,Dave,Lost,4/1/2022,New,1000,United States,Internet
On-Premise,Web,Dave,Lost,4/27/2021,New,1000,United States,Internet
,,Dave,Lost,9/29/2017,New,1000,United States,Internet
,Web,Dave,Lost,8/6/2021,New,1000,Switzerland,Internet
,Web,Dave,Lost,4/1/2022,New,1000,United States,Internet
,,Dave,Lost,6/30/2017,New,1000,United States,Internet
,Partner,Dave,Lost,10/13/2021,New,1000,United States,Internet
,,Dave,Lost,1/29/2022,Renewal,1000,United States,Internet
Cloud C,Partner,Ed,Lost,12/31/2020,New,1000,India,Internet
Cloud B,Partner,Fred,Lost,6/30/2021,Partnership,1000,United States,Internet
,,Fred,Lost,1/7/2021,Partnership,1000,United States,Internet
Cloud C,Partner,Fred,Lost,12/31/2020,Partnership,1000,United States,Internet
,Partner,Fred,Lost,6/30/2021,Partnership,1000,Ecuador,Internet
Cloud C,Partner,Fred,Lost,10/11/2020,Partnership,1000,United States,Internet
,Partner,Fred,Lost,12/31/2020,Partnership,1000,United States,Internet
,,Fred,Lost,12/31/2016,Partnership,1000,United States,Internet
,,Fred,Lost,12/31/2016,Partnership,1000,United States,Internet
Cloud C,Partner,Fred,Lost,12/31/2020,Partnership,1000,United States,Internet
,,Greg,Lost,9/1/2021,New,1000,United States,Internet
,Web,Greg,Lost,3/31/2022,New,1000,France,Internet
,Web,Joe,Requalify,11/12/2021,New,1000,United States,Internet
Cloud C,Web,Joe,Requalify,11/17/2020,New,1000,United States,Internet
Cloud A,,Paul,Requalify,7/28/2022,New,1000,United States,Internet
,,Paul,Lost,12/30/2017,New,1000,United States,Internet
,,Paul,Requalify,7/28/2022,New,1000,United States,Internet
,Web,Paul,Lost,11/12/2021,New,1000,United States,Internet
,Event,Paul,Lost,5/11/2021,New,1000,United States,Internet
,Web,Paul,Requalify,3/25/2022,New,1000,United States,Internet
,Web,Paul,Lost,11/13/2020,New,1000,United States,Internet
,,Paul,Lost,7/21/2022,New,1000,United States,Internet
,Partner,Paul,Lost,10/6/2021,New,1000,United States,Internet
Cloud B,Partner,Paul,Lost,5/31/2021,New,1000,United States,Internet
,Web,Paul,Requalify,5/25/2021,New,1000,United States,Internet
,,Paul,Lost,1/8/2021,New,1000,United States,Internet
,,Paul,Lost,6/15/2018,New,1000,United States,Internet
Cloud A,Web,Paul,Lost,5/25/2018,New,1000,United States,Internet
,,Sammy,Won,12/16/2015,Upsell,1000,United States,Internet
,,Sammy,Lost,12/31/2016,Upsell,1000,China,Internet
,,Sammy,Lost,3/31/2016,Upsell,1000,Mexico,Internet
,,Sammy,Lost,11/30/2016,Upsell,1000,China,Internet
,,Sammy,Lost,6/30/2018,New,1000,United States,Internet
Cloud B,,Sammy,Lost,9/30/2017,New,1000,Singapore,Internet
,,Sammy,Lost,11/30/2017,New,1000,Australia,Internet
,,Sammy,Lost,5/30/2018,New,1000,Spain,Internet
,,Sammy,Lost,12/29/2017,New,1000,South Africa,Internet
,,Sammy,Lost,12/31/2016,Upsell,1000,United States,Internet
,Web,Sammy,Lost,12/29/2017,New,1000,France,Internet
On-Premise,,Sammy,Lost,12/27/2018,New,1000,United Kingdom,Internet
,,Sammy,Requalify,1/6/2017,Partnership,1000,Turkey,Internet
,Partner,Sammy,Lost,3/31/2022,New,1000,United States,Internet
Cloud C,Partner,Steve,Won,4/8/2021,Upsell,1000,United States,Internet
Cloud C,,Steve,Won,6/11/2021,Upsell,1000,Canada,Internet
Cloud C,Partner,Steve,Won,8/20/2020,Upsell,1000,United States,Internet
Cloud C,Partner,Steve,Lost,7/23/2021,Upsell,1000,United States,Internet
,Partner,Steve,Lost,11/4/2021,New,1000,United States,Internet
On-Premise,,Steve,Lost,11/30/2019,New,1000,Canada,Internet
Cloud C,Partner,Steve,Won,2/2/2021,Upsell,1000,United States,Internet
Cloud C,Partner,Steve,Won,1/28/2021,Upsell,1000,United States,Internet
Cloud C,Partner,Steve,Won,12/31/2020,Upsell,1000,United States,Internet
Cloud C,Partner,Steve,Won,3/10/2021,Upsell,1000,United States,Internet
Cloud C,Partner,Steve,Requalify,9/30/2021,New,1000,United States,Internet
Cloud A,Web,Steve,Lost,7/30/2021,New,1000,Canada,Internet
Cloud C,Partner,Steve,Won,7/2/2021,Upsell,1000,United States,Internet
,Partner,Steve,Lost,3/1/2021,New,1000,United States,Internet
Cloud C,Partner,Steve,Won,11/6/2020,Upsell,1000,United States,Internet
,Partner,Steve,Won,9/30/2021,Upsell,1000,United States,Internet
,Partner,Steve,Lost,4/29/2021,New,1000,United States,Internet
,Partner,Steve,Requalify,10/31/2021,Upsell,1000,United States,Internet
,Partner,Steve,Won,9/24/2021,Upsell,1000,United States,Internet
Cloud C,Partner,Steve,Won,1/15/2021,Upsell,1000,United States,Internet
Cloud C,Partner,Steve,Lost,7/30/2021,Upsell,1000,United States,Internet
Cloud C,Web,Steve,Lost,12/1/2021,Renewal,1000,United States,Internet
,,Steve,Lost,11/4/2021,New,1000,Canada,Internet
,,Steve,Won,9/30/2021,Upsell,1000,Canada,Internet
,Web,Steve,Lost,3/1/2021,New,1000,United States,Internet
Cloud C,,Steve,Lost,10/7/2021,Upsell,1000,Canada,Internet
Cloud C,Web,Steve,Won,9/30/2020,New,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
,Partner,Susans,Lost,12/31/2016,New,1000,United States,Internet
,,Susans,Lost,12/28/2018,New,1000,United States,Internet
,,Susans,Lost,3/31/2017,Upsell,1000,United States,Internet
,,Susans,Lost,12/31/2016,New,1000,France,Internet
,,Susans,Lost,12/22/2017,Upsell,1000,United States,Internet
,Web,Susans,Lost,3/15/2019,New,1000,Canada,Internet
,Partner,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
,,Susans,Requalify,2/26/2016,Partnership,1000,Turkey,Internet
,,Susans,Lost,12/9/2016,New,1000,United States,Internet
,,Susans,Lost,12/30/2015,Upsell,1000,United States,Internet
,,Susans,Lost,8/31/2016,Upsell,1000,United States,Internet
,,Susans,Lost,12/15/2017,New,1000,United States,Internet
,,Susans,Lost,12/30/2017,New,1000,United States,Internet
,,Susans,Lost,12/31/2016,New,1000,United States,Internet
,,Susans,Lost,6/30/2018,New,1000,United States,Internet
Cloud C,Partner,Susans,Lost,3/31/2020,New,1000,United Kingdom,Internet
,,Susans,Lost,2/29/2016,Upsell,1000,United States,Internet
,,Susans,Lost,6/23/2017,Upsell,1000,France,Internet
,,Susans,Lost,1/31/2017,Upsell,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
Cloud B,,Susans,Lost,12/31/2018,Upsell,1000,United States,Internet
,,Susans,Lost,3/30/2017,New,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
,,Susans,Lost,10/31/2018,New,1000,United States,Internet
,Partner,Susans,Lost,12/30/2016,Upsell,1000,United States,Internet
,,Susans,Validation,3/26/2021,New,1000,United States,Internet
Cloud A,,Susans,Lost,9/26/2018,New,1000,United States,Internet
,,Susans,Lost,12/31/2018,Upsell,1000,United States,Internet
,,Susans,Lost,6/30/2017,Upsell,1000,United States,Internet
,,Susans,Lost,9/29/2017,Upsell,1000,United States,Internet
,,Susans,Lost,12/31/2016,New,1000,United States,Internet
,,Susans,Lost,3/24/2017,New,1000,United States,Internet
,,Susans,Lost,4/26/2018,New,1000,United States,Internet
,Partner,Susans,Requalify,3/9/2017,Partnership,1000,United States,Internet
,Partner,Susans,Lost,12/31/2018,New,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
On-Premise,Web,Susans,Lost,11/15/2018,New,1000,"Korea, Republic of",Internet
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Internet
,,Susans,Lost,3/17/2017,New,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
,,Susans,Lost,1/31/2017,New,1000,United States,Internet
,Partner,Susans,Lost,3/31/2017,Upsell,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
On-Premise,Web,Susans,Lost,11/13/2018,New,1000,Canada,Internet
,,Susans,Lost,3/16/2018,New,1000,United States,Internet
,,Susans,Lost,9/29/2017,New,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
,,Susans,Lost,12/31/2016,New,1000,India,Internet
,Partner,Susans,Lost,9/30/2019,New,1000,United States,Internet
,,Susans,Lost,7/25/2019,New,1000,United States,Internet
On-Premise,,Susans,Lost,12/15/2017,Upsell,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,Canada,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Internet
,,Susans,Lost,12/31/2016,New,1000,United States,Internet
Cloud B,Partner,Susans,Lost,12/31/2018,Upsell,1000,United States,Internet
,,Susans,Lost,11/17/2017,Upsell,1000,United States,Internet
,,Susans,Lost,1/31/2018,Upsell,1000,United States,Internet
,Partner,Susans,Lost,9/21/2017,Upsell,1000,United States,Internet
,,Susans,Lost,4/12/2018,New,1000,United States,Internet
,,Susans,Lost,6/30/2017,New,1000,United States,Internet
,,Susans,Lost,9/30/2016,Upsell,1000,United States,Internet
,,Susans,Lost,6/30/2019,New,1000,United Kingdom,Internet
,,Susans,Lost,12/29/2017,New,1000,United States,Internet
,,Susans,Lost,1/31/2017,Upsell,1000,United States,Internet
On-Premise,Web,Susans,Lost,12/31/2015,Upsell,1000,United States,Internet
On-Premise,Web,Susans,Lost,12/31/2015,New,1000,United States,Internet
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Internet
,,Susans,Lost,12/31/2016,New,1000,United States,Internet
,,Susans,Lost,5/29/2018,Upsell,1000,United States,Internet
Cloud C,,Tom,Lost,12/6/2021,Renewal,1000,United States,Internet
,,Tom,Won,4/28/2021,Upsell,1000,United States,Internet
Cloud B,Web,Tom,Won,5/26/2020,New,1000,United Kingdom,Internet
Cloud C,,Tom,Won,4/29/2020,New,1000,United States,Internet
On-Premise,Web,Tom,Lost,3/18/2021,Renewal,1000,Saudi Arabia,Internet
,,Tom,Requalify,3/31/2020,New,1000,United States,Internet
Cloud B,Web,Tom,Lost,6/30/2019,New,1000,Brazil,Internet
,,Tom,Lost,3/30/2017,Upsell,1000,United States,Internet
,Partner,Tom,Requalify,4/29/2022,New,1000,United States,Internet
,,Tom,Lost,12/29/2017,New,1000,Namibia,Internet
Cloud C,Web,Tom,Requalify,9/30/2021,New,1000,Belgium,Internet
Cloud A,,Tom,Lost,9/27/2018,New,1000,United Kingdom,Internet
,,Tom,Lost,12/31/2016,Upsell,1000,Canada,Internet
On-Premise,,Tom,Requalify,12/23/2020,New,1000,Italy,Internet
On-Premise,Web,Tom,Lost,9/23/2021,New,1000,United States,Internet
,Web,Tom,Lost,4/30/2021,New,1000,United States,Internet
Cloud C,,Tom,Lost,3/3/2021,New,1000,United States,Internet
Cloud B,,Tom,Lost,12/28/2020,New,1000,United States,Internet
Cloud C,Web,Tom,Lost,4/11/2021,New,1000,Belgium,Internet
,Web,Tom,Lost,4/1/2021,New,1000,United States,Internet
Cloud A,Web,Tom,Lost,6/3/2021,New,1000,United States,Internet
Cloud B,Partner,Tom,Lost,5/19/2021,New,1000,United Kingdom,Internet
On-Premise,Web,Tom,Lost,9/17/2021,Renewal,1000,United States,Internet
Cloud A,Web,Tom,Requalify,3/31/2022,New,1000,United States,Internet
,Partner,Tom,Lost,1/26/2021,New,1000,United States,Internet
,Web,Tom,Lost,3/1/2021,New,1000,United States,Internet
Cloud B,Web,Tom,Requalify,12/31/2021,New,1000,United States,Internet
,Web,Tom,Requalify,5/1/2021,New,1000,Poland,Internet
,Web,Tom,Requalify,6/30/2021,New,1000,Canada,Internet
,Web,Tom,Lost,12/31/2018,New,1000,United States,Internet
Cloud B,Web,Tom,Lost,6/1/2021,New,1000,United Kingdom,Internet
,,Tom,Lost,9/29/2017,New,1000,Poland,Internet
Cloud C,Partner,Tom,Lost,9/1/2020,Upsell,1000,United States,Internet
,,Tom,Lost,12/30/2016,New,1000,India,Internet
,Web,Tom,Lost,12/31/2019,New,1000,United States,Internet
,,Tom,Lost,12/31/2018,New,1000,United States,Internet
,Partner,Tom,Requalify,3/30/2021,New,1000,Ukraine,Internet
Cloud C,Web,Tom,Lost,2/17/2021,New,1000,Canada,Internet
,Web,Tom,Requalify,5/31/2021,New,1000,United States,Internet
,Web,Tom,Lost,2/16/2021,New,1000,United States,Internet
,Web,Tom,Lost,1/14/2021,New,1000,Finland,Internet
On-Premise,Web,Tom,Won,9/17/2020,New,1000,United States,Internet
,Web,Tom,Requalify,6/30/2021,New,1000,United States,Internet
Cloud C,Partner,Tom,Lost,11/11/2021,New,1000,United States,Internet
,Web,Tom,Lost,5/1/2021,New,1000,Brazil,Internet
,Partner,Tom,Lost,3/1/2021,New,1000,United States,Internet
On-Premise,,Tom,Lost,4/1/2021,New,1000,United States,Internet
,,Tom,Lost,1/21/2021,New,1000,United States,Internet
Cloud C,,Tom,Won,12/28/2020,Upsell,1000,United States,Internet
Cloud A,,Tom,Won,2/25/2021,New,1000,United States,Internet
,Web,Tom,Requalify,9/2/2021,New,1000,United States,Internet
,,Tom,Lost,6/30/2020,New,1000,United States,Internet
,Web,Tom,Lost,9/30/2020,New,1000,United States,Internet
On-Premise,Web,Tom,Requalify,5/31/2021,New,1000,Italy,Internet
,,Tom,Lost,9/29/2017,New,1000,United States,Internet
,Web,Tom,Requalify,11/20/2020,New,1000,United States,Internet
,,Tom,Lost,12/31/2016,New,1000,Sweden,Internet
Cloud A,Web,Tom,Lost,10/17/2020,New,1000,United Kingdom,Internet
,Web,Tom,Won,12/3/2020,Renewal,1000,United States,Internet
Cloud C,,Tom,Won,12/2/2020,New,1000,United States,Internet
Cloud C,Partner,Steve,Won,9/24/2020,Upsell,2000,United States,Internet
Cloud C,Event,Paul,Won,9/8/2020,New,8000,United States,Internet
,,Dave,Proposal,6/29/2022,Renewal,8000,Turkey,Internet
,,Susans,Won,12/28/2017,New,8000,United States,Internet
,,Susans,Lost,3/31/2016,Upsell,10000,United States,Internet
,,Dave,Proposal,6/29/2022,Renewal,10000,Turkey,Internet
,,Dave,Proposal,9/30/2022,Renewal,10000,Turkey,Internet
Cloud C,Partner,Steve,Lost,4/24/2020,Upsell,10000,United States,Internet
